🇨🇳󠁧󠁢󠁥󠁮潇洒MTV,#genre#
潇洒MV,https://download.kstore.space/download/2863/MTV/Olivia%20O%E2%80%9DBrien%EF%B9%A0FLETCHER-Bitch%20Back.mp4
潇洒MV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
潇洒MV1,https://download.kstore.space/download/2863/MTV/Weki%20Meki-COOL%20%EF%BC%88Performance%20Ver.%EF%BC%89.mp4
潇洒MV2,https://download.kstore.space/download/2863/MTV/MAMAMOO-AYA.mp4
潇洒MV3,https://download.kstore.space/download/2863/MTV/aespa%20%EF%BC%88%EC%97%90%EC%8A%A4%ED%8C%8C%EF%BC%89-Black%20Mamba.mp4
周杰伦-最伟大的作品,https://download.kstore.space/download/2863/MTV/%E5%91%A8%E6%9D%B0%E4%BC%A6-%E6%9C%80%E4%BC%9F%E5%A4%A7%E7%9A%84%E4%BD%9C%E5%93%81.mp4
周杰伦-本草纲目,https://download.kstore.space/download/2863/MTV/%E5%91%A8%E6%9D%B0%E4%BC%A6-%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE.mp4
周杰伦-Mojito,https://download.kstore.space/download/2863/MTV/%E5%91%A8%E6%9D%B0%E4%BC%A6-Mojito.mp4
周杰伦-晴天,https://download.kstore.space/download/2863/MTV/%E5%91%A8%E6%9D%B0%E4%BC%A6-%E6%99%B4%E5%A4%A9.mp4
李荣浩-乌梅子酱,https://download.kstore.space/download/2863/MTV/%E6%9D%8E%E8%8D%A3%E6%B5%A9-%E4%B9%8C%E6%A2%85%E5%AD%90%E9%85%B1.mp4
李荣浩-老街,https://download.kstore.space/download/2863/MTV/%E6%9D%8E%E8%8D%A3%E6%B5%A9-%E8%80%81%E8%A1%97.mp4
李荣浩-模特,https://download.kstore.space/download/2863/MTV/%E6%9D%8E%E8%8D%A3%E6%B5%A9-%E6%A8%A1%E7%89%B9.mp4
李荣浩-李白,https://download.kstore.space/download/2863/MTV/%E6%9D%8E%E8%8D%A3%E6%B5%A9-%E6%9D%8E%E7%99%BD.mp4
古巨基-劲歌金曲1,https://download.kstore.space/download/2863/MTV/%E5%8F%A4%E5%B7%A8%E5%9F%BA-%E5%8A%B2%E6%AD%8C%E9%87%91%E6%9B%B2.mp4
古巨基-劲歌金曲2,https://download.kstore.space/download/2863/MTV/%E5%8F%A4%E5%B7%A8%E5%9F%BA-%E5%8A%B2%E6%AD%8C.%20%E9%87%91%E6%9B%B22%EF%BC%88%E6%83%85%E6%AD%8C%E7%8E%8B%EF%BC%89.mp4
